category	relative_path	name	extension	size_bytes	last_write_time	candidate_for_import
OTHER	backend\package-lock.json	package-lock.json	.json	190519	2026-06-18T13:11:42	False
OTHER	backend\package.json	package.json	.json	1319	2026-06-18T13:12:09	False
OTHER	backend\tsconfig.json	tsconfig.json	.json	1020	2026-06-18T13:12:35	False
OTHER	config\tool-installation-registry\tool-installation-registry.20260618-111212.json	tool-installation-registry.20260618-111212.json	.json	52745	2026-06-18T11:19:01	False
OTHER	config\tool-installation-registry\tool-installation-registry.latest.json	tool-installation-registry.latest.json	.json	5928	2026-06-18T12:38:11	False
OTHER	config\tool-installation-registry\tool-installation-registry.validation.20260618-112035.json	tool-installation-registry.validation.20260618-112035.json	.json	3144	2026-06-18T11:20:35	False
CONTRACTS	contracts\kanban-local\consumable-card.schema.json	consumable-card.schema.json	.json	4009	2026-06-18T10:31:57	True
CONTRACTS	contracts\kanban-local\recurrent-detected-input.schema.json	recurrent-detected-input.schema.json	.json	3214	2026-06-18T10:43:14	True
CONTRACTS	contracts\openclaw-skill-packet\openclaw-readonly-intake-output-contract.json	openclaw-readonly-intake-output-contract.json	.json	5753	2026-06-18T10:55:16	True
CONTRACTS	contracts\openwebui-openclaw-readonly-adapter\readonly-intake-thread.schema.json	readonly-intake-thread.schema.json	.json	3780	2026-06-18T10:52:29	True
CONTRACTS	contracts\tool-linking\tool-linking-permissions-contract.json	tool-linking-permissions-contract.json	.json	3729	2026-06-18T10:54:24	True
OTHER	dashboard\controlled-actions-index.json	controlled-actions-index.json	.json	881	2026-06-17T10:49:07	False
CONTRACTS	data\006E_VALIDACION_OPERATIVA_VISUAL\contracts\visual-validation-contract.json	visual-validation-contract.json	.json	2206	2026-06-17T20:48:14	True
OTHER	data\006E_VALIDACION_OPERATIVA_VISUAL\docs\DECISION_HUMANA_006E.md	DECISION_HUMANA_006E.md	.md	444	2026-06-17T20:48:14	False
MANUALS	data\006E_VALIDACION_OPERATIVA_VISUAL\docs\MANUAL_006E.md	MANUAL_006E.md	.md	278	2026-06-17T20:48:14	True
REPORTS	data\006E_VALIDACION_OPERATIVA_VISUAL\reports\visual-readiness-report.json	visual-readiness-report.json	.json	690	2026-06-17T20:48:14	True
OTHER	data\apply-scope-102\receipts\apply-scope-receipt.json	apply-scope-receipt.json	.json	781	2026-06-17T13:33:50	False
CONTRACTS	data\apply-scope-102\apply-boundary-contract.json	apply-boundary-contract.json	.json	1875	2026-06-17T13:33:50	True
OTHER	data\apply-scope-102\apply-scope-model.json	apply-scope-model.json	.json	1449	2026-06-17T13:33:50	False
OTHER	data\approval-console-059\receipts\approval-console-upgrade-receipt.json	approval-console-upgrade-receipt.json	.json	820	2026-06-17T12:21:45	False
OTHER	data\approval-console-059\approval-console-upgrade-model.json	approval-console-upgrade-model.json	.json	2676	2026-06-17T12:21:45	False
