score	name	file	dir	reason
680	e09d-validate-new-operator-project-from-template-v2.json	C:\ENGREMIAT_CORE\reports\template-improvement\e09d-validate-new-operator-project\e09d-validate-new-operator-project-from-template-v2.json	C:\ENGREMIAT_CORE\reports\template-improvement\e09d-validate-new-operator-project	00_PLANTILLA_MAESTRA_OFICIAL,SYSTEM_GROUPING_MODEL,PROJECT_HOME,project.template.json,11_AGRUPACION_MANUAL,AGRUPACION_MANUAL,filename
680	E09A2_CANDIDATOS_AGRUPACION_MANUAL_CONTROL.md	C:\ENGREMIAT_CORE\reports\template-improvement\e09a2-find-manual-grouping-control\E09A2_CANDIDATOS_AGRUPACION_MANUAL_CONTROL.md	C:\ENGREMIAT_CORE\reports\template-improvement\e09a2-find-manual-grouping-control	00_PLANTILLA_MAESTRA_OFICIAL,SYSTEM_GROUPING_MODEL,PROJECT_HOME,project.template.json,11_AGRUPACION_MANUAL,AGRUPACION_MANUAL,filename
680	E09C_APPLIED_MANUAL_GROUPING_LAYER_SUMMARY.md	C:\ENGREMIAT_CORE\reports\template-improvement\e09c-apply-manual-grouping-layer\E09C_APPLIED_MANUAL_GROUPING_LAYER_SUMMARY.md	C:\ENGREMIAT_CORE\reports\template-improvement\e09c-apply-manual-grouping-layer	00_PLANTILLA_MAESTRA_OFICIAL,SYSTEM_GROUPING_MODEL,PROJECT_HOME,11_AGRUPACION_MANUAL,E09C,AGRUPACION_MANUAL,filename
680	E09D_VALIDATE_NEW_OPERATOR_PROJECT_SUMMARY.md	C:\ENGREMIAT_CORE\reports\template-improvement\e09d-validate-new-operator-project\E09D_VALIDATE_NEW_OPERATOR_PROJECT_SUMMARY.md	C:\ENGREMIAT_CORE\reports\template-improvement\e09d-validate-new-operator-project	00_PLANTILLA_MAESTRA_OFICIAL,SYSTEM_GROUPING_MODEL,PROJECT_HOME,project.template.json,11_AGRUPACION_MANUAL,AGRUPACION_MANUAL,filename
680	E09C_APPLIED_MANUAL_GROUPING_LAYER_SUMMARY.md	C:\ENGREMIAT_CORE\reports\template-improvement\e09c-apply-manual-grouping-layer\E09C_APPLIED_MANUAL_GROUPING_LAYER_SUMMARY.md	C:\ENGREMIAT_CORE\reports\template-improvement\e09c-apply-manual-grouping-layer	00_PLANTILLA_MAESTRA_OFICIAL,SYSTEM_GROUPING_MODEL,PROJECT_HOME,11_AGRUPACION_MANUAL,E09C,AGRUPACION_MANUAL,filename
580	e08e-richness-audit-and-template-v2-blueprint.json	C:\ENGREMIAT_CORE\reports\template-improvement\e08e-richness-audit\e08e-richness-audit-and-template-v2-blueprint.json	C:\ENGREMIAT_CORE\reports\template-improvement\e08e-richness-audit	BLUEPRINT_PLANTILLA_MAESTRA_V2,PLANTILLA_MAESTRA_V2,00_PLANTILLA_MAESTRA_OFICIAL,PROJECT_HOME,project.template.json,filename
480	e09a2-find-manual-grouping-control-document-fix-tsv.json	C:\ENGREMIAT_CORE\reports\template-improvement\e09a2-find-manual-grouping-control\e09a2-find-manual-grouping-control-document-fix-tsv.json	C:\ENGREMIAT_CORE\reports\template-improvement\e09a2-find-manual-grouping-control	00_PLANTILLA_MAESTRA_OFICIAL,PROJECT_HOME,project.template.json,AGRUPACION_MANUAL,filename
480	e09b-build-manual-grouping-layer-staging-no-apply.json	C:\ENGREMIAT_CORE\reports\template-improvement\e09b-manual-grouping-staging\e09b-build-manual-grouping-layer-staging-no-apply.json	C:\ENGREMIAT_CORE\reports\template-improvement\e09b-manual-grouping-staging	SYSTEM_GROUPING_MODEL,11_AGRUPACION_MANUAL,E09C,AGRUPACION_MANUAL,filename
380	e08m-close-master-template-v2-and-prepare-module-template-v2.json	C:\ENGREMIAT_CORE\reports\template-improvement\e08m-close-master-v2\e08m-close-master-template-v2-and-prepare-module-template-v2.json	C:\ENGREMIAT_CORE\reports\template-improvement\e08m-close-master-v2	PLANTILLA_MAESTRA_V2,00_PLANTILLA_MAESTRA_OFICIAL,E08M,filename
380	e08a-readonly-analyze-project-after-over-cleaning.json	C:\ENGREMIAT_CORE\reports\template-improvement\e08a-project-audit\e08a-readonly-analyze-project-after-over-cleaning.json	C:\ENGREMIAT_CORE\reports\template-improvement\e08a-project-audit	00_PLANTILLA_MAESTRA_OFICIAL,PROJECT_HOME,project.template.json,filename
380	e09a2-manual-grouping-control-candidates.tsv	C:\ENGREMIAT_CORE\reports\template-improvement\e09a2-find-manual-grouping-control\e09a2-manual-grouping-control-candidates.tsv	C:\ENGREMIAT_CORE\reports\template-improvement\e09a2-find-manual-grouping-control	00_PLANTILLA_MAESTRA_OFICIAL,PROJECT_HOME,project.template.json,filename
280	robocopy-backup-master-before-e09c-20260619-235221.log	C:\ENGREMIAT_CORE\reports\template-improvement\e09c-apply-manual-grouping-layer\robocopy-backup-master-before-e09c-20260619-235221.log	C:\ENGREMIAT_CORE\reports\template-improvement\e09c-apply-manual-grouping-layer	00_PLANTILLA_MAESTRA_OFICIAL,E09C,filename
280	e08f2-build-staging-v2-designed-short-path-no-apply.json	C:\ENGREMIAT_CORE\reports\template-improvement\e08f2-staging-v2-designed\e08f2-build-staging-v2-designed-short-path-no-apply.json	C:\ENGREMIAT_CORE\reports\template-improvement\e08f2-staging-v2-designed	00_PLANTILLA_MAESTRA_OFICIAL,PROJECT_HOME,filename
280	E08M_CIERRE_PLANTILLA_MAESTRA_V2.md	C:\ENGREMIAT_CORE\reports\template-improvement\e08m-close-master-v2\E08M_CIERRE_PLANTILLA_MAESTRA_V2.md	C:\ENGREMIAT_CORE\reports\template-improvement\e08m-close-master-v2	00_PLANTILLA_MAESTRA_OFICIAL,E08M,filename
280	E09E_REPAIR_NEW_PROJECT_GRAPH_ROOT_BACKBONE_SUMMARY.md	C:\ENGREMIAT_CORE\reports\template-improvement\e09e-repair-new-project-graph\E09E_REPAIR_NEW_PROJECT_GRAPH_ROOT_BACKBONE_SUMMARY.md	C:\ENGREMIAT_CORE\reports\template-improvement\e09e-repair-new-project-graph	SYSTEM_GROUPING_MODEL,PROJECT_HOME,filename
280	e01-readonly-diagnose-master-and-start-module-templates-report.json	C:\ENGREMIAT_CORE\reports\template-improvement\e01-readonly-diagnose-master-and-start-module-templates-report.json	C:\ENGREMIAT_CORE\reports\template-improvement	00_PLANTILLA_MAESTRA_OFICIAL,PROJECT_HOME,filename
280	e09c-apply-manual-grouping-layer-with-backup.json	C:\ENGREMIAT_CORE\reports\template-improvement\e09c-apply-manual-grouping-layer\e09c-apply-manual-grouping-layer-with-backup.json	C:\ENGREMIAT_CORE\reports\template-improvement\e09c-apply-manual-grouping-layer	00_PLANTILLA_MAESTRA_OFICIAL,E09C,filename
280	e09c-apply-manual-grouping-layer-with-backup.json	C:\ENGREMIAT_CORE\reports\template-improvement\e09c-apply-manual-grouping-layer\e09c-apply-manual-grouping-layer-with-backup.json	C:\ENGREMIAT_CORE\reports\template-improvement\e09c-apply-manual-grouping-layer	00_PLANTILLA_MAESTRA_OFICIAL,E09C,filename
280	robocopy-backup-master-before-e09c-20260619-235221.log	C:\ENGREMIAT_CORE\reports\template-improvement\e09c-apply-manual-grouping-layer\robocopy-backup-master-before-e09c-20260619-235221.log	C:\ENGREMIAT_CORE\reports\template-improvement\e09c-apply-manual-grouping-layer	00_PLANTILLA_MAESTRA_OFICIAL,E09C,filename
200	robocopy-apply-staging-v2-to-official-20260619-233243.log	C:\ENGREMIAT_CORE\reports\template-improvement\e08h-apply-v2-official-master\robocopy-apply-staging-v2-to-official-20260619-233243.log	C:\ENGREMIAT_CORE\reports\template-improvement\e08h-apply-v2-official-master	00_PLANTILLA_MAESTRA_OFICIAL,project.template.json
180	robocopy-official-master-v2-to-sandbox-20260619-233428.log	C:\ENGREMIAT_CORE\reports\template-improvement\e08i-sandbox-project-v2\robocopy-official-master-v2-to-sandbox-20260619-233428.log	C:\ENGREMIAT_CORE\reports\template-improvement\e08i-sandbox-project-v2	00_PLANTILLA_MAESTRA_OFICIAL,filename
180	robocopy-backup-module-ref-before-e09c-20260619-235221.log	C:\ENGREMIAT_CORE\reports\template-improvement\e09c-apply-manual-grouping-layer\robocopy-backup-module-ref-before-e09c-20260619-235221.log	C:\ENGREMIAT_CORE\reports\template-improvement\e09c-apply-manual-grouping-layer	E09C,filename
180	robocopy-backup-module-ref-before-e09c-20260619-235221.log	C:\ENGREMIAT_CORE\reports\template-improvement\e09c-apply-manual-grouping-layer\robocopy-backup-module-ref-before-e09c-20260619-235221.log	C:\ENGREMIAT_CORE\reports\template-improvement\e09c-apply-manual-grouping-layer	E09C,filename
180	e08l-build-isolated-obsidian-vault-for-template-v2-graph.json	C:\ENGREMIAT_CORE\reports\template-improvement\e08l-isolated-graph-vault\e08l-build-isolated-obsidian-vault-for-template-v2-graph.json	C:\ENGREMIAT_CORE\reports\template-improvement\e08l-isolated-graph-vault	00_PLANTILLA_MAESTRA_OFICIAL,filename
180	robocopy-backup-official-before-e08h-20260619-233243.log	C:\ENGREMIAT_CORE\reports\template-improvement\e08h-apply-v2-official-master\robocopy-backup-official-before-e08h-20260619-233243.log	C:\ENGREMIAT_CORE\reports\template-improvement\e08h-apply-v2-official-master	00_PLANTILLA_MAESTRA_OFICIAL,filename
