score	files	total_size	features	folder	top_files
16595	464	1199142	master,project,module,inicio,roadmap,operational_artifacts,multi_file,many_files,size_gt_10kb,size_gt_50kb	C:\ENGREMIAT_CORE	master-vault-template-audit.v1.json | e01-audit-master-vault-template-structure-links-and-content-report.json | master-vault-template-audit.after-repair.v1.json | master-vault-template-audit.after-targeted-repair.v1.json | e03-rerun-master-vault-template-audit-after-repair-report.json
15844	464	1187839	master,project,module,inicio,roadmap,operational_artifacts,multi_file,many_files,size_gt_10kb,size_gt_50kb	C:\ENGREMIAT_CORE\data	master-vault-template-audit.v1.json | master-vault-template-audit.after-targeted-repair.v1.json | master-vault-template-audit.after-repair.v1.json | master-vault-template-targeted-repair.v1.json | master-vault-template-repair.v1.json
9777	308	496003	module,inicio,multi_file,many_files,size_gt_10kb,size_gt_50kb	C:\ENGREMIAT_CORE\data\_OFFICIAL_MODULES	HUMAN_MACHINE_MANUAL.md | official-modules-index.json | module.json | module.json | _NEXT_MODULES_OFFICIAL_PATH_POLICY.json
8679	256	1681492	master,module,inicio,operational_artifacts,multi_file,many_files,size_gt_10kb,size_gt_50kb	C:\ENGREMIAT_CORE\data\ENGREMIAT_MODULES_OFFICIALIZATION_001	modules-officialization-inventory.tsv | official-modules-validation-results.tsv | e06-official-modules-validation-report.json | official-modules-index.json | official-modules-validation-results.json
8389	243	565803	master,project,module,inicio,roadmap,operational_artifacts,multi_file,many_files,size_gt_10kb,size_gt_50kb	C:\ENGREMIAT_CORE\reports	e01-audit-master-vault-template-structure-links-and-content-report.json | e03-rerun-master-vault-template-audit-after-repair-report.json | e02-repair-master-vault-template-incoherences-safe-report.json | e07a-seed-reusable-module-library-report.json | e06-classify-minor-warnings-and-decide-gate-report.json
7836	233	612087	master,module,inicio,operational_artifacts,multi_file,many_files,size_gt_10kb,size_gt_50kb	C:\ENGREMIAT_CORE\data\ENGREMIAT_MODULES_OFFICIALIZATION_001\E03_PREPARE_IDENTITY_PATCHES_NO_APPLY	real-execution-template-174.module.json | real-execution-template-175.module.json | operational-template-145.module.json | controlled-action-template-017.module.json | real-execution-template-172.module.json
7706	229	365096	master,module,inicio,operational_artifacts,multi_file,many_files,size_gt_10kb,size_gt_50kb	C:\ENGREMIAT_CORE\data\ENGREMIAT_MODULES_OFFICIALIZATION_001\E03_PREPARE_IDENTITY_PATCHES_NO_APPLY\identity-patches	real-execution-template-174.module.json | operational-template-145.module.json | controlled-action-template-017.module.json | real-execution-template-175.module.json | real-execution-template-173.module.json
3909	139	116894	project,module,operational_artifacts,multi_file,many_files,size_gt_10kb,size_gt_50kb	C:\ENGREMIAT_CORE\data\_OFFICIAL_MODULES\_NEXT_MODULES	HUMAN_MACHINE_MANUAL.md | module.json | module.json | README_NEXT_MODULES.md | _NEXT_MODULES_OFFICIAL_PATH_POLICY.json
3738	99	70856	master,project,module,inicio,roadmap,operational_artifacts,multi_file,many_files,size_gt_10kb,size_gt_50kb	C:\ENGREMIAT_CORE\obsidian-vaults	SIM_PROJECT_20260619-144124_ROADMAP_PROPOSAL.md | ROADMAP_001_VISUAL_TASK_MANAGEMENT_MODULE.md | PROJECT_HOME.md | SIM_PROJECT_20260619-152304_prueba1_GATE_REVIEW_PROJECT_START.md | SIM_PROJECT_20260619-144124_TASK_001_DEFINE_SCOPE.md
2750	69	37783	project,module,inicio,roadmap,operational_artifacts,multi_file,many_files,size_gt_10kb	C:\ENGREMIAT_CORE\obsidian-vaults\BOVEDA_PROJECT_ENGREMIAT_SIMULATION_LAB	RESULT_PROJECT_START_SIMULATION.md | SIM_PROJECT_20260619-144124_ROADMAP_PROPOSAL.md | ROADMAP_001_VISUAL_TASK_MANAGEMENT_MODULE.md | PROJECT_HOME.md | SIM_PROJECT_20260619-152304_prueba1_GATE_REVIEW_PROJECT_START.md
