score	files	total_size	features	folder	top_files
7124	132	131129	master,project,module,inicio,roadmap,visual_graph,operational_artifacts,multi_file,many_files,complete_vault,size_gt_10kb,size_gt_50kb	C:\ENGREMIAT_CORE\obsidian-vaults	SIM_PROJECT_20260619-144124_ROADMAP_PROPOSAL.md | SIM_PROJECT_20260619-144124_PROJECT_START_CANVAS.canvas | SIM_PROJECT_20260619-152304_prueba1_PROJECT_START.canvas | MASTER_GROUPED_CANVAS.canvas | PROJECT_HOME.md | ROADMAP_001_VISUAL_TASK_MANAGEMENT_MODULE.md | SIM_PROJECT_20260619-144124_TASK_001_DEFINE_SCOPE.md | PROJECT_MODULES_INDEX.md
4916	86	84097	project,module,inicio,roadmap,visual_graph,operational_artifacts,multi_file,many_files,complete_vault,size_gt_10kb,size_gt_50kb	C:\ENGREMIAT_CORE\obsidian-vaults\BOVEDA_PROJECT_ENGREMIAT_SIMULATION_LAB	RESULT_PROJECT_START_SIMULATION.md | SIM_PROJECT_20260619-144124_ROADMAP_PROPOSAL.md | SIM_PROJECT_20260619-144124_PROJECT_START_CANVAS.canvas | SIM_PROJECT_20260619-152304_prueba1_PROJECT_START.canvas | PROJECT_HOME.md | ROADMAP_001_VISUAL_TASK_MANAGEMENT_MODULE.md | SIM_PROJECT_20260619-144124_TASK_001_DEFINE_SCOPE.md | SIM_PROJECT_20260619-152304_prueba1_GATE_REVIEW_PROJECT_START.md
2658	45	53803	master,project,module,visual_graph,operational_artifacts,multi_file,many_files,complete_vault,size_gt_10kb,size_gt_50kb	C:\ENGREMIAT_CORE\obsidian-vaults\ENGREMIAT_MASTER_VAULT_20260619-123146	ARCHITECTURE_CONTENT_MAP.md | MODULE_CANVAS.canvas | MASTER_GROUPED_CANVAS.canvas | MODULE_arquitectura_global_engremiat_INDEX.md | ARCHITECTURE_GLOBAL_CANVAS.canvas | EVIDENCE.md | GRAPH_VIEW_SELECTOR.md | MODULE_STATUS.md
1611	20	24147	project,module,visual_graph,operational_artifacts,multi_file,many_files,complete_vault,size_gt_10kb	C:\ENGREMIAT_CORE\obsidian-vaults\ENGREMIAT_MASTER_VAULT_20260619-123146\03_MODULOS	ARCHITECTURE_CONTENT_MAP.md | MODULE_CANVAS.canvas | MODULE_arquitectura_global_engremiat_INDEX.md | ARCHITECTURE_GLOBAL_CANVAS.canvas | L04_PROJECT_MODULE_BUILDER_Builder_de_proyectos_y_modulos.md | L06_EVIDENCE_REPORTING_Evidencia_y_reportes.md | EVIDENCE.md | MODULE_CONTRACT.md
1509	18	23576	project,module,visual_graph,operational_artifacts,multi_file,many_files,complete_vault,size_gt_10kb	C:\ENGREMIAT_CORE\obsidian-vaults\ENGREMIAT_MASTER_VAULT_20260619-123146\03_MODULOS\MODULE_arquitectura_global_engremiat	ARCHITECTURE_CONTENT_MAP.md | MODULE_CANVAS.canvas | MODULE_arquitectura_global_engremiat_INDEX.md | L04_PROJECT_MODULE_BUILDER_Builder_de_proyectos_y_modulos.md | ARCHITECTURE_GLOBAL_CANVAS.canvas | L06_EVIDENCE_REPORTING_Evidencia_y_reportes.md | EVIDENCE.md | MODULE_CONTRACT.md
1237	17	16663	master,project,module,roadmap,visual_graph,multi_file,many_files,complete_vault,size_gt_10kb	C:\ENGREMIAT_CORE\obsidian-vaults\BOVEDA_PROJECT_ENGREMIAT_CORE	MODULE_PROJECT_CANVAS.canvas | MODULE_PROJECT_EVIDENCE.md | MODULE_PROJECT_VIEW.md | PROJECT_MODULES_INDEX.md | PROJECT_CANVAS.canvas | MODULE_PROJECT_STATUS.md | PROJECT_HOME.md | MODULE_CARD.md
790	9	40530	project,inicio,visual_graph,multi_file,many_files,size_gt_10kb	C:\ENGREMIAT_CORE\obsidian-vaults\BOVEDA_PROJECT_ENGREMIAT_SIMULATION_LAB\10_CANVAS	SIM_PROJECT_20260619-144124_PROJECT_START_CANVAS.canvas | SIM_PROJECT_20260619-152304_prueba1_PROJECT_START.canvas | SIM_PROJECT_20260619-144124_WORKER_RESULT_CANVAS.canvas | SIMULATION_OBJECT_MODEL_CANVAS.canvas | SIMULATION_LAB_CANVAS.canvas | WORKER_SIMULATION_RESULT_CANVAS.canvas | SCENARIO_001_CANVAS.canvas | CYCLE_RUN_001_CANVAS.canvas
712	9	5900	project,module,operational_artifacts,multi_file,many_files	C:\ENGREMIAT_CORE\obsidian-vaults\ENGREMIAT_MASTER_VAULT_20260619-123146\03_MODULOS\MODULE_arquitectura_global_engremiat\01_ARQUITECTURA	L04_PROJECT_MODULE_BUILDER_Builder_de_proyectos_y_modulos.md | L06_EVIDENCE_REPORTING_Evidencia_y_reportes.md | L02_HUMAN_CONTROL_Control_humano.md | L03_VISUAL_MEMORY_Memoria_visual_Obsidian.md | ARCHITECTURE_FLOWS.md | L05_WORKER_LOOP_Loop_de_workers.md | L01_CORE_Core_local.md | ARCHITECTURE_BOUNDARIES.md
682	11	5467	project,module,roadmap,multi_file,many_files	C:\ENGREMIAT_CORE\obsidian-vaults\BOVEDA_PROJECT_ENGREMIAT_SIMULATION_LAB\03_SIMULATED_TASKS	SIM_PROJECT_20260619-144124_TASK_001_DEFINE_SCOPE.md | SIM_PROJECT_20260619-144124_TASK_003_VALIDATE_FIRST_EVIDENCE.md | SIM_PROJECT_20260619-144124_TASK_002_PREPARE_STRUCTURE.md | TASK_001_DEFINE_MODULE_SCOPE.md | T02_Preparar_roadmap_inicial.md | TASK_002_CREATE_VISUAL_STRUCTURE.md | TASK_003_VALIDATE_EVIDENCE.md | TASK_MODEL.md
677	9	4576	project,inicio,roadmap,operational_artifacts,multi_file,many_files	C:\ENGREMIAT_CORE\obsidian-vaults\BOVEDA_PROJECT_ENGREMIAT_SIMULATION_LAB\05_HUMAN_GATES	SIM_PROJECT_20260619-152304_prueba1_GATE_REVIEW_PROJECT_START.md | SIM_PROJECT_20260619-153021_prueba2_GATE_REVIEW_PROJECT_START.md | SIM_PROJECT_20260619-153101_prueba2_GATE_REVIEW_PROJECT_START.md | SIM_PROJECT_20260619-144124_GATE_VALIDATE_RESULT.md | SIM_PROJECT_20260619-144124_GATE_APPROVE_ROADMAP.md | GATE_002_ACCEPT_SIMULATED_RESULT.md | GATE_001_APPROVE_ROADMAP.md | HUMAN_GATES_INDEX.md
629	10	7426	project,module,roadmap,visual_graph,multi_file,many_files	C:\ENGREMIAT_CORE\obsidian-vaults\BOVEDA_PROJECT_ENGREMIAT_CORE_BACKUP_20260619-141739	PROJECT_CANVAS.canvas | PROJECT_MODULES_INDEX.md | PROJECT_HOME.md | PROJECT_GRAPH_VIEW_SELECTOR.md | PROJECT_EVIDENCE_INDEX.md | PROJECT_STATUS.md | ROADMAP_INDEX.md | PROJECT_REPORTS_INDEX.md
