status	relative_path	source_size	target_size	source_hash	target_hash
MISSING_IN_PRUEBA11	.obsidian\app.json	2		44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a	
MISSING_IN_PRUEBA11	.obsidian\appearance.json	2		44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a	
MISSING_IN_PRUEBA11	.obsidian\core-plugins.json	696		763cf20a921fd9955735b278006820b90b207b2fc04d9e79ca648279c7c14276	
MISSING_IN_PRUEBA11	.obsidian\graph.json	510		861a383c590112f5a50ff5ec721aea15b733869c3861a878d081751c5e8d0264	
MISSING_IN_PRUEBA11	.obsidian\workspace.json	4751		6aac3c4cf07e7a14797527f8817fb0f7fa701ae26d5968e27739f0b8ac634078	
MISSING_IN_PRUEBA11	00_CONTROL\project.json	330		5499717865ec147593afc2fc090ac140d08c298222442fabd2d786b8486ba476	
DIFFERENT	00_CONTROL\project.template.json	1455	426	ffc4411ebcb5bb620fb50686743b636773e90754085a3e37445dbf44a1680646	4e6a130629feaa73657112b89454bbb5ec28c8e423b7679a0165ea839c065b37
MISSING_IN_PRUEBA11	00_CONTROL\template-source.json	551		13890afcedd77c2b60f2421b4ed3cabe8970860104b18c868853e2a0134c99c4	
MISSING_IN_PRUEBA11	00_GRAPH\GRAPH_VIEW_PROFILE.md	412		d328b6b434dbdc4f886720db25d81e026c1b245e434cc8692a887b8aca5a3abe	
MISSING_IN_PRUEBA11	00_HOME\GRAPH_INDEX.md	612		0dd0877a7c01b5e01c125dd4ca477fbe9b15746c26a70f38aa2adda8475b2206	
DIFFERENT	00_HOME\PROJECT_HOME.md	1060	490	8acbca7414de7022d4a195bec46a6a6011785f12df946ae8f758d7d8174a913f	926117aa38b1580a8c4fd08980a5a06bb8699cb695649aa599309f4d9c6dd058
MISSING_IN_PRUEBA11	01_OBJETIVO\OBJECTIVE_MODEL.md	428		d6faae179f2ba4c4a52dd00d1ca81abed560ab2966cc15d50874326c3e3e30df	
EXTRA_IN_PRUEBA11	01_OBJETIVO\PROJECT_OBJECTIVE.md		89		76606d71040434b01e125e574e9db678be36f3a957da2032e1716bd39557a8d7
EXTRA_IN_PRUEBA11	02_ROADMAP\ROADMAP.md		52		21be285188f835f30c497b23c8d3c54249a3ae25ccdae5b30bc7ec79a217beb7
MISSING_IN_PRUEBA11	02_ROADMAP\ROADMAP_MODEL.md	415		9c75e2fb007c49566da0e3bb6545a29da0360a6d32b3bdad0bad5ae424b1c433	
MISSING_IN_PRUEBA11	03_MODULOS\EJEMPLOS_MODULOS_REALES\M01.module.json	439		51d0b456f3d8b95060fd92cea39686b6fb7fedb9013985c9435f1933c1323eb0	
MISSING_IN_PRUEBA11	03_MODULOS\EJEMPLOS_MODULOS_REALES\M02.module.json	752		e395b993716f30e3fa2fc78ef6b0a6e7885aca3530bffc659a052d1f4b0d6e37	
MISSING_IN_PRUEBA11	03_MODULOS\EJEMPLOS_MODULOS_REALES\M03.module.json	749		bdb6e88d18a32379f6cecee7fd6b8f8a00fb69e0b2e7b8095b7276015c97fa3f	
MISSING_IN_PRUEBA11	03_MODULOS\EJEMPLOS_MODULOS_REALES\M04.module.json	837		9f2d4e4826bb8ec2aa8b1601f59d9193953d5918d12af5acfe67fffc21ac1803	
MISSING_IN_PRUEBA11	03_MODULOS\EJEMPLOS_MODULOS_REALES\M05.module.json	390		6ca335696408ee020c9dbf2430edd2e1bf87f1ca4f0b4a680ed4da74e1b65c30	
MISSING_IN_PRUEBA11	03_MODULOS\EJEMPLOS_MODULOS_REALES\M06.module.json	1056		2244a0af35982228a7304958ad8c503269d5714f0fa880187f1849c2ca4dd99d	
MISSING_IN_PRUEBA11	03_MODULOS\EJEMPLOS_MODULOS_REALES\M07.module.json	494		bae8e05c6dcb6c8d94eff505aee833fcf44b7bd447ffc8bd36e4233c4ca3d50e	
MISSING_IN_PRUEBA11	03_MODULOS\EJEMPLOS_MODULOS_REALES\M08.module.json	185		470b59514f5394a998428343a81dad7e2cf33eb1215124bd8157132df18bacc5	
DIFFERENT	03_MODULOS\MODULES_INDEX.md	383	55	44e1d7c4a429aa50a110df1b1d113f45d1a1d8905c63a4002b5fb65bef6ef5f7	f4b68305b5d25bfd947e50d25ac137469114804ab5b8cae66b3c1481c3b129d3
MISSING_IN_PRUEBA11	04_TAREAS\TASK_MODEL.md	332		0bf3d929a74df38202e578eaafe4d2c63ea2a2f1d7e5520816864cec97cef8ae	
EXTRA_IN_PRUEBA11	04_TAREAS\TASKS_INDEX.md		65		b8dc6ed99eb226927e2aebeaeb1e1ebda2a37d4da65170afcc5b131e16174dba
EXTRA_IN_PRUEBA11	05_GATES_HUMANOS\GATES_INDEX.md		70		0cb79cfb62083d8fba7846ffad1f94f2ac7f01d4112b6aba3fc057b8ad3589b1
MISSING_IN_PRUEBA11	05_GATES_HUMANOS\HUMAN_GATE_MODEL.md	370		26bf645afe648a6d6f19bb954960cb978709efc2a8d4cda0137a1f76e7cd5714	
