"ProcessName","Id","CPU","WorkingSetMB","StartTime","Path","MainWindowTitle"
"afwServ","6328",,"33,52",,,""
"AggregatorHost","1420",,"11,3",,,""
"ApplicationFrameHost","15712","0,296875","61,49","18/06/2026 11:47:59","C:\WINDOWS\system32\ApplicationFrameHost.exe","Configuración"
"aswEngSrv","5552",,"168,79",,,""
"aswidsagent","8860",,"84,99",,,""
"aswToolsSvc","4532",,"82,45",,,""
"AvastSvc","3848",,"197,43",,,""
"AvastUI","16664","0,21875","5,91","18/06/2026 11:47:13","C:\Program Files\Avast Software\Avast\AvastUI.exe",""
"AvastUI","19436","0,09375","3,8","18/06/2026 11:47:13","C:\Program Files\Avast Software\Avast\AvastUI.exe",""
"AvastUI","6984","0,109375","5,58","18/06/2026 11:47:13","C:\Program Files\Avast Software\Avast\AvastUI.exe",""
"AvastUI","14084","6,359375","29,92","18/06/2026 11:46:36","C:\Program Files\Avast Software\Avast\AvastUI.exe",""
"cmd","20052","0,03125","9,83","18/06/2026 12:05:19",,""
"com.docker.backend","12084","2,484375","137,93","18/06/2026 11:51:57",,""
"com.docker.backend","10056","0,828125","65,39","18/06/2026 11:51:57",,""
"com.docker.build","19264","0,125","29,61","18/06/2026 11:51:58",,""
"conhost","15844","0","9,62","18/06/2026 11:46:43","C:\WINDOWS\system32\conhost.exe",""
"conhost","15192","0,046875","7,25","18/06/2026 11:46:47","C:\WINDOWS\system32\conhost.exe",""
"conhost","18384","0","9,6","18/06/2026 11:46:51","C:\WINDOWS\system32\conhost.exe",""
"conhost","16268","0,046875","9,75","18/06/2026 11:52:06",,""
"conhost","14572","0,03125","9,62","18/06/2026 11:46:51","C:\WINDOWS\system32\conhost.exe",""
"conhost","9696","0,015625","7,36","18/06/2026 11:51:57",,""
"conhost","7820","0,015625","9,61","18/06/2026 11:46:51","C:\WINDOWS\system32\conhost.exe",""
"conhost","14216","0,015625","9,77","18/06/2026 12:05:03",,""
"conhost","10308","0","9,79","18/06/2026 12:05:19",,""
"CrossDeviceResume","8016","0,546875","66,58","18/06/2026 11:46:31","C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\CrossDeviceResume.exe",""
"csrss","1124",,"7,28",,,""
"csrss","756",,"6,26",,,""
"ctfmon","13872","1,125","33,17","18/06/2026 11:46:36",,""
"dllhost","17636","0,046875","11,86","18/06/2026 11:46:50","C:\WINDOWS\system32\DllHost.exe",""
"dllhost","15616","2,703125","11,04","18/06/2026 11:46:48","C:\WINDOWS\system32\DllHost.exe",""
"dllhost","6376","0,015625","11,6","18/06/2026 11:52:06",,""
"docker","10940","0,109375","26,27","18/06/2026 12:05:03",,""
"docker","7644","0,125","26,43","18/06/2026 12:05:19",,""
"Docker Desktop","11188","0,09375","52,22","18/06/2026 11:51:58",,""
"Docker Desktop","15256","56,578125","147,18","18/06/2026 11:51:59","C:\Program Files\Docker\Docker\frontend\Docker Desktop.exe",""
"Docker Desktop","3656","7,421875","141,23","18/06/2026 11:51:58",,"Dashboard - Docker Desktop"
"Docker Desktop","2164","0,015625","12,26","18/06/2026 11:51:57",,""
