score	relative	size	hits	path	snippet
16	ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\00_PROJECT_CONTROL\PROJECT_GRAPH_VIEW_SELECTOR.md	489	vista=5;path_control=5;path_plantilla=2;path_maestro_original=4	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\00_PROJECT_CONTROL\PROJECT_GRAPH_VIEW_SELECTOR.md	
12	ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\00_LAB_CONTROL\LAB_STATUS.md	733	control=1;path_control=5;path_plantilla=2;path_maestro_original=4	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\00_LAB_CONTROL\LAB_STATUS.md	## Ruido visual  - md_files: `  50  `  - canvas_files: `  7  `  - decision: `  OK_LAB_V1_VISUAL_NOISE_ACCEPTABLE  `    ## Siguiente  `  PAUSE_AND_DECIDE_NEXT_SIMULATION_OR_REAL_CONTROLLED_TASK  `
12	ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\00_LAB_CONTROL\SIMULATION_LAB_V1_CLOSE.md	788	control=1;path_control=5;path_plantilla=2;path_maestro_original=4	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\00_LAB_CONTROL\SIMULATION_LAB_V1_CLOSE.md	ejecutar piezas reales sensibles, probar objetivo, tareas, gates y evidencias dentro del Simulation Lab.    ## Proximo uso recomendado  Simular un ciclo mas realista con una tarea controlada o conectar un worker local fake con entrada/salida estructurada, todavia sin acciones reales.
12	ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\PROJECT_HOME.md	1804	control=6;path_plantilla=2;path_maestro_original=4	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\PROJECT_HOME.md	solidacion de ENGREMIAT. Simula objetivos, roadmaps, tareas, workers, gates humanos, evidencias, resultados y aprendizaje sin ejecutar workers reales.    ## Navegacion  - [[00_LAB_CONTROL/LAB_STATUS]]  - [[00_LAB_CONTROL/SIMULATION_CYCLE]]  - [[01_OBJECTIVES/OBJECTIVES_INDEX]]  - [[02_ROADMAPS/ROADMAPS_INDEX]]  - [[03_SIMULATED_TASKS/SIMULATED_TASKS_INDEX]]  - [[04_SIMULATED_WORKERS/SIMULATED_WORKERS_INDEX]]  - [[05_HUMAN_GATES/HUMAN_GATES_INDEX]]  - [[06_DECISIONS/DECISIONS_INDEX]]  - [[07_EVIDENCE/EVIDENCE_INDEX]]  - [[08_RESULTS/RESULTS_INDEX]]  - [[09_LEARNING/LEARNING_INDEX]]  - [[10_CANV
11	ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\00_LAB_CONTROL\SIM_PROJECT_20260619-144124_HUMAN_REVIEW.md	444	path_control=5;path_plantilla=2;path_maestro_original=4	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\00_LAB_CONTROL\SIM_PROJECT_20260619-144124_HUMAN_REVIEW.md	
11	ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\00_LAB_CONTROL\SIMULATION_CYCLE.md	427	path_control=5;path_plantilla=2;path_maestro_original=4	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\00_LAB_CONTROL\SIMULATION_CYCLE.md	
11	ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\00_PROJECT_CONTROL\PROJECT_STATUS.md	209	path_control=5;path_plantilla=2;path_maestro_original=4	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\00_PROJECT_CONTROL\PROJECT_STATUS.md	
11	ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\00_LAB_CONTROL\OBJECT_MODEL_REGISTRY.md	503	path_control=5;path_plantilla=2;path_maestro_original=4	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\00_LAB_CONTROL\OBJECT_MODEL_REGISTRY.md	
11	ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\00_LAB_CONTROL\CYCLE_RUN_001.md	706	path_control=5;path_plantilla=2;path_maestro_original=4	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\00_LAB_CONTROL\CYCLE_RUN_001.md	
11	ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\00_LAB_CONTROL\CYCLE_RUN_001_FINAL_STATUS.md	637	path_control=5;path_plantilla=2;path_maestro_original=4	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\00_LAB_CONTROL\CYCLE_RUN_001_FINAL_STATUS.md	
